procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 513969920 778292 7968964    0    0     0     8  348  538  0  0 100  0  0	
 1  0      0 513970688 778352 7969004    0    0     0    10  340  526  0  0 100  0  0	
 1  0      0 513967520 778388 7969044    0    0     0     8  344  525  0  0 100  0  0	
 1  0      0 513967616 778432 7969100    0    0     0     8  350  531  0  0 100  0  0	
 0  0      0 513965952 778476 7968948    0    0     0    11  342  528  0  0 100  0  0	
 0  0      0 513966016 778516 7968988    0    0     0     7  338  525  0  0 100  0  0	
 1  0      0 513966464 778572 7969040    0    0     0     7  350  530  0  0 100  0  0	
 1  0      0 513966976 778600 7969084    0    0     0    10  336  522  0  0 100  0  0	
 0  0      0 513969408 778628 7969128    0    0     0     8  332  509  0  0 100  0  0	
 0  0      0 513969728 778672 7969168    0    0     0     7  321  503  0  0 100  0  0	
 0  0      0 513969280 778712 7969216    0    0     0    11  326  507  0  0 100  0  0	
 1  0      0 513968608 778740 7969256    0    0     0     7  322  502  0  0 100  0  0	
 1  0      0 513968672 778784 7969108    0    0     0     7  324  506  0  0 100  0  0	
 1  0      0 513968128 778832 7969148    0    0     0    11  316  510  0  0 100  0  0	
 0  0      0 513968192 778896 7969188    0    0     0     7  324  511  0  0 100  0  0	
 1  0      0 513967872 778936 7969244    0    0     0     7  330  527  0  0 100  0  0	
 0  0      0 513967680 778992 7969300    0    0     0    14  339  527  0  0 100  0  0	
 1  0      0 513965856 779032 7969344    0    0     0     8  332  516  0  0 100  0  0	
 1  0      0 513966336 779076 7969384    0    0     0     9  342  527  0  0 100  0  0	
 0  0      0 513966016 779112 7969428    0    0     0    10  338  525  0  0 100  0  0	
 1  0      0 513966560 779140 7969284    0    0     0     7  339  525  0  0 100  0  0	
 1  0      0 513968032 779188 7969320    0    0     0   186  360  530  0  0 100  0  0	
 1  0      0 513969440 779220 7969360    0    0     0    11  339  522  0  0 100  0  0	
 1  0      0 513969408 779268 7969408    0    0     0     8  322  505  0  0 100  0  0	
 0  0      0 513969216 779328 7969456    0    0     0     8  318  507  0  0 100  0  0	
 1  0      0 513969280 779364 7969496    0    0     0    11  328  509  0  0 100  0  0	
 1  0      0 513968704 779424 7969544    0    0     0     8  322  503  0  0 100  0  0	
 1  0      0 513968800 779476 7969592    0    0     0     9  323  509  0  0 100  0  0	
 0  0      0 513968544 779516 7969444    0    0     0    11  322  512  0  0 100  0  0	
 0  0      0 513968096 779560 7969484    0    0     0     7  320  508  0  0 100  0  0	
 1  0      0 513964320 779612 7969532    0    0     0     6  319  506  0  0 100  0  0	
 1  0      0 513968288 779664 7969572    0    0     0    11  334  511  0  0 100  0  0	
 0  0      0 513969088 779700 7969620    0    0     0     8  323  507  0  0 100  0  0	
 0  0      0 513968800 779744 7969656    0    0     0     8  321  506  0  0 100  0  0	
 0  0      0 513968064 779776 7969708    0    0     0    11  318  505  0  0 100  0  0	
 1  0      0 513967552 779808 7969564    0    0     0     8  324  508  0  0 100  0  0	
 1  0      0 513967648 779856 7969612    0    0     0     8  325  509  0  0 100  0  0	
 1  0      0 513967616 779900 7969648    0    0     0    10  319  507  0  0 100  0  0	
 0  0      0 513966912 779936 7969696    0    0     0     9  329  520  0  0 100  0  0	
 1  0      0 513967168 779964 7969748    0    0     0     9  325  511  0  0 100  0  0	
 1  0      0 513967104 779996 7969788    0    0     0    10  322  511  0  0 100  0  0	
 1  0      0 513966560 780036 7969836    0    0     0     8  317  507  0  0 100  0  0	
 1  0      0 513966016 780080 7969876    0    0     0     8  324  519  0  0 100  0  0	
 0  0      0 513967168 780132 7969728    0    0     0    12  327  519  0  0 100  0  0	
 1  0      0 513966848 780168 7969772    0    0     0     7  322  510  0  0 100  0  0	
 1  0      0 513965664 780204 7969812    0    0     0     7  328  520  0  0 100  0  0	
 1  0      0 513965824 780252 7969868    0    0     0    11  342  527  0  0 100  0  0	
 1  0      0 513966720 780292 7969908    0    0     0     9  339  525  0  0 100  0  0	
 0  0      0 513968896 780328 7969952    0    0     0     8  353  532  0  0 100  0  0	
 1  0      0 513968448 780368 7969996    0    0     0    12  342  527  0  0 100  0  0	
 1  0      0 513968128 780416 7970036    0    0     0     7  344  527  0  0 100  0  0	
 1  0      0 513967584 780472 7969896    0    0     0    10  353  540  0  0 100  0  0	
 1  0      0 513967232 780512 7969940    0    0     0    12  351  532  0  0 100  0  0	
 0  0      0 513969664 780560 7969980    0    0     0   189  360  523  0  0 100  0  0	
 1  0      0 513969376 780584 7970024    0    0     0     8  328  511  0  0 100  0  0	
 1  0      0 513969152 780612 7970064    0    0     0    10  335  515  0  0 100  0  0	
 1  0      0 513969952 780668 7970124    0    0     0    10  338  516  0  0 100  0  0	
 0  0      0 513965792 780708 7970168    0    0     0     8  336  517  0  0 100  0  0	
 1  0      0 513964160 780756 7970212    0    0     0    12  336  515  0  0 100  0  0	
 1  0      0 513964672 780772 7970064    0    0     0     8  333  514  0  0 100  0  0	
 1  0      0 513963360 780812 7970104    0    0     0     8  341  526  0  0 100  0  0	
 1  0      0 513963488 780840 7970152    0    0     0    11  332  515  0  0 100  0  0	
 0  0      0 513963392 780896 7970184    0    0     0     7  330  511  0  0 100  0  0	
 1  0      0 513963456 780936 7970244    0    0     0     9  337  516  0  0 100  0  0	
 0  0      0 513965728 780968 7970280    0    0     0    11  346  521  0  0 100  0  0	
 1  0      0 513966016 781028 7970324    0    0     0     7  342  516  0  0 100  0  0	
 0  0      0 513966048 781084 7970376    0    0     0     8  341  515  0  0 100  0  0	
 1  0      0 513965824 781120 7970228    0    0     0    11  331  510  0  0 100  0  0	
 1  0      0 513965632 781176 7970276    0    0     0     8  332  510  0  0 100  0  0	
 1  0      0 513965248 781216 7970308    0    0     0     6  331  511  0  0 100  0  0	
 0  0      0 513964928 781268 7970352    0    0     0    10  335  514  0  0 100  0  0	
 0  0      0 513964608 781320 7970400    0    0     0     9  330  509  0  0 100  0  0	
 0  0      0 513962944 781360 7970448    0    0     0     8  336  513  0  0 100  0  0	
 1  0      0 513962656 781388 7970492    0    0     0    11  339  514  0  0 100  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 514136256 783664 7862428    0    0   695   644    1    5  0  1 97  1  0	
 3  1      0 513897152 783700 8030120    0    0  1840 14514 2019 3304  0  0 99  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 520335104 129156 2701556    0    0   810   627    5    4  0  1 97  1  0	
 1  0      0 520117952 130484 2842488    0    0   348 14018 2158 3122  0  0 99  0  0	
